INFO 2024-07-22 18:41:48,477 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-22 18:41:48,852 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1721637563.1836739
DEBUG 2024-07-22 18:41:48,852 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\fnmatch.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,853 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1721637563.128674
DEBUG 2024-07-22 18:41:48,853 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\logging\handlers.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,853 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\requests\certs.py first seen with mtime 1721560092.5580983
DEBUG 2024-07-22 18:41:48,854 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\utils\timesince.py first seen with mtime 1721637563.4616742
DEBUG 2024-07-22 18:41:48,854 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\urllib3\util\wait.py first seen with mtime 1721560051.685097
DEBUG 2024-07-22 18:41:48,854 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1721637561.2676742
DEBUG 2024-07-22 18:41:48,855 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1721637563.2766738
DEBUG 2024-07-22 18:41:48,855 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\shutil.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,856 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1721637563.224674
DEBUG 2024-07-22 18:41:48,856 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\sre_parse.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,857 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\codecs.py first seen with mtime 1630341324.0
